软件名称,RPM名称,软件包名称,功能说明,详细情况,依赖关系
nfs-utils,nfs-utils-client-2.5.4-r0.aarch64.rpm,nfs-utils-client,查询远程主机上的装载守护程序,此软件包还包含showmount程序。Showmount查询远程主机上的装载守护程序，以了解有关远程主机上NFS（网络文件系统）服务器的信息。例如，showmount可以显示装载在该主机上的客户端。,base-files base-passwd initd-functions libc6 >= 2.34+10.3.1 libcap >= 2.61 libtirpc3 >= 1.3.2 nfs-utils-mount rpcbind shadow
nfs-utils,nfs-utils-mount-2.5.4-r0.aarch64.rpm,nfs-utils-mount,挂载或卸载文件系统,此软件包还包含mount.nfs和umount.nfs程序。,libc6 >= 2.34+10.3.1 libmount1 >= 2.37.2 libtirpc3 >= 1.3.2 
openamp,libopen-amp1-2022.04.0-r0.aarch64.rpm,libopen-amp1,提供libopen_amp.so.1,,libc6 >= 2.34+10.3.1 libmetal >= 2022.04.0 screen
openssh,openssh-keygen-8.8p1-r0.aarch64.rpm,openssh-keygen,生成ssh公钥认证所需的公钥和私钥文件,提供/usr/bin/ssh-keygen,libc6 >= 2.34+10.3.1 libcrypto1.1 >= 1.1.1m 
openssh,openssh-misc-8.8p1-r0.aarch64.rpm,openssh-misc,ssh远程登陆管理主机,提供/usr/bin/ssh、/usr/bin/ssh-add、/usr/bin/ssh-agent、/usr/bin/ssh-copy-id、/usr/bin/ssh-keyscan等,libc6 >= 2.34+10.3.1 libcrypto1.1 >= 1.1.1m libz1 >= 1.2.11 
openssh,openssh-scp-8.8p1-r0.aarch64.rpm,openssh-scp,远程复制命令,提供/usr/bin/scp,libc6 >= 2.34+10.3.1 libcrypto1.1 >= 1.1.1m update-alternatives-opkg
openssh,openssh-sftp-8.8p1-r0.aarch64.rpm,openssh-sftp,远程文件传输服务,提供/usr/bin/sftp,libc6 >= 2.34+10.3.1 libcrypto1.1 >= 1.1.1m 
openssh,openssh-sftp-server-8.8p1-r0.aarch64.rpm,openssh-sftp-server,”sftp“协议的服务器端程序使用加密的方式进行文件传输,提供/usr/libexec/sftp-server,libc6 >= 2.34+10.3.1 libcrypto1.1 >= 1.1.1m 
openssh,openssh-ssh-8.8p1-r0.aarch64.rpm,openssh-ssh,ssh服务配置文件,提供/etc/ssh/ssh_config,libc6 >= 2.34+10.3.1 libcrypto1.1 >= 1.1.1m libz1 >= 1.2.11 update-alternatives-opkg
openssh,openssh-sshd-8.8p1-r0.aarch64.rpm,openssh-sshd,ssh服务进程启动,提供/usr/sbin/sshd、/usr/libexec/openssh/sshd_check_keys等,base-files base-passwd libc6 >= 2.34+10.3.1 libcrypt1 >= 1.0+10.3.1 libcrypto1.1 >= 1.1.1m libpam >= 1.5.2 libz1 >= 1.2.11 openssh-keygen pam-plugin-keyinit pam-plugin-loginuid shadow
openssl,openssl-conf-1.1.1m-r0.aarch64.rpm,openssl-conf,openssl的主配置文件,提供/etc/ssl/openssl.cnf,libc6 >= 2.34+10.3.1 
openssl,libcrypto1.1-1.1.1m-r0.aarch64.rpm,libcrypto1.1,OpenSSL crypto库,提供/usr/lib64/libcrypto.so.*,libc6 >= 2.34+10.3.1 libcrypto1.1 >= 1.1.1m 
openssl,libssl1.1-1.1.1m-r0.aarch64.rpm,libssl1.1,OpenSSL SSL库,提供/usr/lib64/libssl.so.*,
opkg-utils,update-alternatives-opkg-0.5.0-r0.aarch64.rpm,update-alternatives-opkg,通过确定默认命令来维护符号链接,提供opkg-utils的update-alternatives程序,
os-base,os-base-1.0-r1.qemu_aarch64.rpm,os-base,openEuler Embedded的额外基本配置文件,,
os-release,os-release-1.0-r0.noarch.rpm,os-release,添加openeuler版本信息,添加openeuler版本信息，同时添加os-revision记录构建时间戳。生成的镜像也放到时间戳目录便于区分不同版本,
